217 301
240.07 32.439 -1249
240.07 32.425 -945
240.07 32.411 -907
240.07 32.397 -867
240.07 32.383 -909
240.07 32.368 -1041
240.07 32.354 -1123
240.07 32.34 -1463
240.07 32.326 -1903
240.07 32.312 -2095
240.07 32.298 -2133
240.07 32.284 -1913
240.07 32.27 -1781
240.07 32.256 -1695
240.07 32.242 -1749
240.07 32.228 -1991
240.07 32.214 -2209
240.07 32.199 -2485
240.07 32.185 -2861
240.07 32.171 -3163
240.07 32.157 -3331
240.07 32.143 -3329
240.07 32.129 -3389
240.07 32.115 -3387
240.07 32.101 -3453
240.07 32.087 -3505
240.07 32.072 -3525
240.07 32.058 -3573
240.07 32.044 -3599
240.07 32.03 -3607
240.07 32.016 -3599
240.07 32.002 -3619
240.09 35.003 607
240.09 34.989 667
240.09 34.976 729
240.09 34.962 817
240.09 34.948 1025
240.09 34.935 1213
240.09 34.921 1443
240.09 34.907 1387
240.09 34.894 1149
240.09 34.88 939
240.09 34.866 855
240.09 34.853 701
240.09 34.839 527
240.09 34.825 657
240.09 34.812 817
240.09 34.798 1013
240.09 34.784 853
240.09 34.771 739
240.09 34.757 721
240.09 34.743 973
240.09 34.73 1125
240.09 34.716 993
240.09 34.702 793
240.09 34.688 677
240.09 34.675 549
240.09 34.661 479
240.09 34.647 449
240.09 34.633 469
240.09 34.62 393
240.09 34.606 365
240.09 34.592 297
240.09 34.579 323
240.09 34.565 245
240.09 34.551 297
240.09 34.538 465
240.09 34.524 777
240.09 34.51 653
240.09 34.496 419
240.09 34.483 257
240.09 34.469 123
240.09 34.455 103
240.09 34.441 51
240.09 34.428 21
240.09 34.414 -25
240.09 34.4 -51
240.09 34.386 -69
240.09 34.373 -107
240.09 34.359 -331
240.09 34.345 -411
240.09 34.331 -425
240.09 34.318 -429
240.09 34.304 -447
240.09 34.29 -477
240.09 34.276 -499
240.09 34.263 -523
240.09 34.249 -527
240.09 34.235 -521
240.09 34.221 -531
240.09 34.207 -525
240.09 34.194 -527
240.09 34.18 -499
240.09 34.166 -473
240.09 34.152 -429
240.09 34.138 -231
240.09 34.125 -101
240.09 34.111 -99
240.09 34.097 -91
240.09 34.083 -53
240.09 34.069 101
240.09 34.056 9
240.09 34.042 -29
240.09 34.028 -33
240.09 34.014 -33
240.09 34 -49
240.09 33.986 -75
240.09 33.973 -195
240.09 33.959 -169
240.09 33.945 -85
240.09 33.931 -85
240.09 33.917 -89
240.09 33.904 -93
240.09 33.89 -113
240.09 33.876 -135
240.09 33.862 -131
240.09 33.848 -137
240.09 33.834 -145
240.09 33.821 -153
240.09 33.807 -165
240.09 33.793 -171
240.09 33.779 -153
240.09 33.765 -155
240.09 33.751 -161
240.09 33.737 -143
240.09 33.724 -137
240.09 33.71 -139
240.09 33.696 -139
240.09 33.682 -139
240.09 33.668 -139
240.09 33.654 -143
240.09 33.64 -193
240.09 33.627 -243
240.09 33.613 -349
240.09 33.599 -411
240.09 33.585 -495
240.09 33.571 -529
240.09 33.557 -507
240.09 33.543 -463
240.09 33.529 -423
240.09 33.515 -403
240.09 33.502 -449
240.09 33.488 -493
240.09 33.474 -749
240.09 33.46 -803
240.09 33.446 -821
240.09 33.432 -819
240.09 33.418 -805
240.09 33.404 -801
240.09 33.39 -803
240.09 33.376 -799
240.09 33.362 -771
240.09 33.348 -731
240.09 33.334 -667
240.09 33.321 -615
240.09 33.307 -575
240.09 33.293 -925
240.09 33.279 -893
240.09 33.265 -693
240.09 33.251 -529
240.09 33.237 -465
240.09 33.223 -493
240.09 33.209 -587
240.09 33.195 -697
240.09 33.181 -741
240.09 33.167 -927
240.09 33.153 -1049
240.09 33.139 -1073
240.09 33.125 -1111
240.09 33.111 -1157
240.09 33.097 -1179
240.09 33.084 -1171
240.09 33.069 -1101
240.09 33.056 -1027
240.09 33.042 -1073
240.09 33.028 -1111
240.09 33.014 -1179
240.09 33 -909
240.09 32.986 -907
240.09 32.972 -981
240.09 32.958 -1135
240.09 32.944 -1153
240.09 32.93 -1097
240.09 32.916 -1085
240.09 32.902 -1009
240.09 32.888 -1025
240.09 32.874 -1095
240.09 32.86 -1145
240.09 32.846 -1201
240.09 32.832 -1203
240.09 32.818 -1205
240.09 32.804 -1173
240.09 32.79 -1175
240.09 32.776 -1151
240.09 32.762 -1051
240.09 32.748 -635
240.09 32.734 -603
240.09 32.72 -729
240.09 32.706 -1005
240.09 32.692 -1017
240.09 32.678 -1017
240.09 32.664 -983
240.09 32.65 -1027
240.09 32.636 -1105
240.09 32.621 -1157
